 #  Level         Energy 
           1  -2.8666700845580255     
           2  -2.6922147086503281     
           3  -2.6777534388265476     
           4  -2.4613937550782792     
           5  -2.4189883414372146     
           6  -2.4130820496382319     
           7  -2.1774531180322478     
           8  -2.1405336228646443     
           9  -2.0806805494651996     
          10  -2.0771365072235954     
          11  -1.8568508934326504     
          12  -1.8062239920702245     
          13  -1.7695357349419376     
          14  -1.7083122056959126     
          15  -1.6917439450317839     
          16  -1.5046298978100685     
          17  -1.4769659355864713     
          18  -1.3851613621710537     
          19  -1.3763864107767239     
          20  -1.3515349244861565     
          21  -1.3128831359745399     
          22  -1.1709717426973014     
          23  -1.1492914008804926     
          24  -1.0854825917482909     
          25  -1.0805205108005871     
          26  -1.0000000000000064     
          27  -1.0000000000000013     
          28 -0.99999999999999689     
          29 -0.92058432713307026     
          30 -0.86734383072370613     
          31 -0.70753214715370372     
          32 -0.69227448352820231     
          33 -0.57602562305941019     
          34 -0.53295097013440274     
          35  -2.1344748140753671E-015
          36  -5.8238490901537943E-016
          37  -4.6029689948041062E-016
          38   2.0344485793439111E-015
          39  0.53295097013440151     
          40  0.57602562305940952     
          41  0.69227448352820320     
          42  0.70753214715370505     
          43  0.86734383072370536     
          44  0.92058432713307015     
          45  0.99999999999999856     
          46  0.99999999999999967     
          47   1.0000000000000011     
          48   1.0805205108005889     
          49   1.0854825917482926     
          50   1.1492914008804926     
          51   1.1709717426973021     
          52   1.3128831359745405     
          53   1.3515349244861576     
          54   1.3763864107767214     
          55   1.3851613621710541     
          56   1.4769659355864722     
          57   1.5046298978100683     
          58   1.6917439450317835     
          59   1.7083122056959117     
          60   1.7695357349419365     
          61   1.8062239920702239     
          62   1.8568508934326511     
          63   2.0771365072235963     
          64   2.0806805494651992     
          65   2.1405336228646443     
          66   2.1774531180322487     
          67   2.4130820496382328     
          68   2.4189883414372155     
          69   2.4613937550782801     
          70   2.6777534388265503     
          71   2.6922147086503285     
          72   2.8666700845580251     
